########################
logging outputs to  /home/elliottp/Documents/DS/hw1/ds6559/scripts/../../data/q1_bc_ant_Hopper-v4_25-09-2023_10-18-22
########################
GPU not detected. Defaulting to CPU.
Ep len: 1000
Loading expert policy from... ds6559/policies/experts/Hopper.pkl
obs (1, 11) (1, 11)
Done restoring expert policy...


********** Iteration 0 ************
loading from expert 

Training agent using sampled data from replay buffer...
Batch Loss: 2.1015772819519043
Batch Loss: 1.7663472890853882
Batch Loss: 1.511348843574524
Batch Loss: 1.2213828563690186
Batch Loss: 1.2288620471954346
Batch Loss: 1.474074125289917
Batch Loss: 1.3880627155303955
Batch Loss: 1.3468070030212402
Batch Loss: 1.3367516994476318
Batch Loss: 1.2445781230926514
Batch Loss: 0.9878393411636353
Batch Loss: 1.2462908029556274
Batch Loss: 1.2266528606414795
Batch Loss: 1.292546033859253
Batch Loss: 0.9401921629905701
Batch Loss: 0.9855812788009644
Batch Loss: 0.971897304058075
Batch Loss: 0.9185130596160889
Batch Loss: 0.9439868927001953
Batch Loss: 0.9841708540916443
Batch Loss: 0.9390828609466553
Batch Loss: 0.9143892526626587
Batch Loss: 0.9927675127983093
Batch Loss: 0.694953978061676
Batch Loss: 0.9452848434448242
Batch Loss: 0.9932094216346741
Batch Loss: 0.9803901314735413
Batch Loss: 0.731288731098175
Batch Loss: 0.8402366638183594
Batch Loss: 0.9755659699440002
Batch Loss: 0.9453722238540649
Batch Loss: 0.8421518802642822
Batch Loss: 0.7923029065132141
Batch Loss: 0.8763407468795776
Batch Loss: 0.8562536835670471
Batch Loss: 0.8146653771400452
Batch Loss: 0.8290836811065674
Batch Loss: 0.8396478295326233
Batch Loss: 0.8325381278991699
Batch Loss: 0.8469924926757812
Batch Loss: 0.6806238293647766
Batch Loss: 0.812407374382019
Batch Loss: 0.7105312943458557
Batch Loss: 0.7592561841011047
Batch Loss: 0.6906404495239258
Batch Loss: 0.6942942142486572
Batch Loss: 0.831818163394928
Batch Loss: 0.6931010484695435
Batch Loss: 0.7126309275627136
Batch Loss: 0.7162958979606628
Batch Loss: 0.5904920697212219
Batch Loss: 0.6884372234344482
Batch Loss: 0.7561230063438416
Batch Loss: 0.6446179747581482
Batch Loss: 0.7643892168998718
Batch Loss: 0.679074227809906
Batch Loss: 0.7429733276367188
Batch Loss: 0.6598820686340332
Batch Loss: 0.6453340649604797
Batch Loss: 0.6877203583717346
Batch Loss: 0.6424999237060547
Batch Loss: 0.6863859295845032
Batch Loss: 0.6165822148323059
Batch Loss: 0.6330165863037109
Batch Loss: 0.6179898977279663
Batch Loss: 0.5512685775756836
Batch Loss: 0.5842300653457642
Batch Loss: 0.5492143034934998
Batch Loss: 0.5878216028213501
Batch Loss: 0.5748430490493774
Batch Loss: 0.5211460590362549
Batch Loss: 0.5258403420448303
Batch Loss: 0.5233891010284424
Batch Loss: 0.5587886571884155
Batch Loss: 0.5763905644416809
Batch Loss: 0.49870580434799194
Batch Loss: 0.5266361236572266
Batch Loss: 0.5721887350082397
Batch Loss: 0.5242233276367188
Batch Loss: 0.5395880341529846
Batch Loss: 0.5802354216575623
Batch Loss: 0.5585719347000122
Batch Loss: 0.6282244920730591
Batch Loss: 0.48704370856285095
Batch Loss: 0.525265634059906
Batch Loss: 0.5537053346633911
Batch Loss: 0.45696064829826355
Batch Loss: 0.4927386939525604
Batch Loss: 0.5098928213119507
Batch Loss: 0.5140820741653442
Batch Loss: 0.4964728355407715
Batch Loss: 0.5077694058418274
Batch Loss: 0.5072301030158997
Batch Loss: 0.4468429982662201
Batch Loss: 0.4927712082862854
Batch Loss: 0.46837738156318665
Batch Loss: 0.44747334718704224
Batch Loss: 0.4875096082687378
Batch Loss: 0.46342894434928894
Batch Loss: 0.45161184668540955
Batch Loss: 0.5397045612335205
Batch Loss: 0.561160147190094
Batch Loss: 0.4220336973667145
Batch Loss: 0.47974517941474915
Batch Loss: 0.45351624488830566
Batch Loss: 0.4513777196407318
Batch Loss: 0.4910503029823303
Batch Loss: 0.44906947016716003
Batch Loss: 0.5233200192451477
Batch Loss: 0.47938263416290283
Batch Loss: 0.4447966516017914
Batch Loss: 0.4576970338821411
Batch Loss: 0.41785725951194763
Batch Loss: 0.412850946187973
Batch Loss: 0.4000472128391266
Batch Loss: 0.4312233030796051
Batch Loss: 0.39886245131492615
Batch Loss: 0.381328821182251
Batch Loss: 0.380654901266098
Batch Loss: 0.3995721638202667
Batch Loss: 0.4585602879524231
Batch Loss: 0.44882071018218994
Batch Loss: 0.469135582447052
Batch Loss: 0.38400179147720337
Batch Loss: 0.36713364720344543
Batch Loss: 0.4794883728027344
Batch Loss: 0.429862916469574
Batch Loss: 0.36712512373924255
Batch Loss: 0.3327576220035553
Batch Loss: 0.437112033367157
Batch Loss: 0.4502870738506317
Batch Loss: 0.3808477222919464
Batch Loss: 0.36487552523612976
Batch Loss: 0.38064080476760864
Batch Loss: 0.34053951501846313
Batch Loss: 0.3688490688800812
Batch Loss: 0.40172895789146423
Batch Loss: 0.3869386315345764
Batch Loss: 0.3286629021167755
Batch Loss: 0.3275070786476135
Batch Loss: 0.41445082426071167
Batch Loss: 0.33503833413124084
Batch Loss: 0.3188733458518982
Batch Loss: 0.33852672576904297
Batch Loss: 0.3957676291465759
Batch Loss: 0.336593896150589
Batch Loss: 0.31255367398262024
Batch Loss: 0.37640058994293213
Batch Loss: 0.2925964593887329
Batch Loss: 0.30794966220855713
Batch Loss: 0.29061436653137207
Batch Loss: 0.33348211646080017
Batch Loss: 0.3272496163845062
Batch Loss: 0.2947162389755249
Batch Loss: 0.3675178587436676
Batch Loss: 0.33931639790534973
Batch Loss: 0.3345458507537842
Batch Loss: 0.35614994168281555
Batch Loss: 0.34610962867736816
Batch Loss: 0.28296202421188354
Batch Loss: 0.3390912413597107
Batch Loss: 0.32512155175209045
Batch Loss: 0.3342483639717102
Batch Loss: 0.24991042912006378
Batch Loss: 0.31279847025871277
Batch Loss: 0.34064269065856934
Batch Loss: 0.3244534432888031
Batch Loss: 0.28423723578453064
Batch Loss: 0.3167645037174225
Batch Loss: 0.2989644408226013
Batch Loss: 0.2853423058986664
Batch Loss: 0.2865273058414459
Batch Loss: 0.3009657859802246
Batch Loss: 0.26440924406051636
Batch Loss: 0.28884369134902954
Batch Loss: 0.28180739283561707
Batch Loss: 0.26198115944862366
Batch Loss: 0.3011179268360138
Batch Loss: 0.288578599691391
Batch Loss: 0.2966372072696686
Batch Loss: 0.2658049166202545
Batch Loss: 0.2715396583080292
Batch Loss: 0.2626020312309265
Batch Loss: 0.2592874765396118
Batch Loss: 0.2916877865791321
Batch Loss: 0.295310378074646
Batch Loss: 0.2984977662563324
Batch Loss: 0.2941018044948578
Batch Loss: 0.29131433367729187
Batch Loss: 0.29918038845062256
Batch Loss: 0.2572837173938751
Batch Loss: 0.28179803490638733
Batch Loss: 0.26484304666519165
Batch Loss: 0.2528962790966034
Batch Loss: 0.2651299238204956
Batch Loss: 0.2645147144794464
Batch Loss: 0.2559010684490204
Batch Loss: 0.2707138955593109
Batch Loss: 0.23195874691009521
Batch Loss: 0.23239675164222717
Batch Loss: 0.23700059950351715
Batch Loss: 0.24260546267032623
Batch Loss: 0.2724290192127228
Batch Loss: 0.23843063414096832
Batch Loss: 0.2625317871570587
Batch Loss: 0.27397996187210083
Batch Loss: 0.22747614979743958
Batch Loss: 0.23884287476539612
Batch Loss: 0.2449161261320114
Batch Loss: 0.27855223417282104
Batch Loss: 0.24092771112918854
Batch Loss: 0.24886846542358398
Batch Loss: 0.23270456492900848
Batch Loss: 0.24716150760650635
Batch Loss: 0.248851016163826
Batch Loss: 0.23915481567382812
Batch Loss: 0.2619718015193939
Batch Loss: 0.27255406975746155
Batch Loss: 0.2549573481082916
Batch Loss: 0.23296396434307098
Batch Loss: 0.22125276923179626
Batch Loss: 0.23500956594944
Batch Loss: 0.2737630605697632
Batch Loss: 0.2127753049135208
Batch Loss: 0.24180269241333008
Batch Loss: 0.2321263700723648
Batch Loss: 0.19757604598999023
Batch Loss: 0.2438296228647232
Batch Loss: 0.25916680693626404
Batch Loss: 0.2481532096862793
